Kundennummer,ABC_Klasse,Kennzeichen_Neukunde
100000,-,Ja
100001,C,Ja
100002,-,Ja
100003,-,Ja
100004,-,Ja
100005,B,Nein
100006,C,Nein
100007,C,Ja
100008,-,Ja
100009,-,Ja
100010,-,Ja
100011,C,Ja
100012,C,Ja
100013,-,Ja
100014,-,Ja
100015,C,Nein
100016,-,Ja
100017,-,Ja
100018,B,Nein
100019,-,Ja
100020,C,Ja
100021,-,Ja
100022,C,Nein
100023,B,Nein
100024,C,Nein
100025,A,Nein
100026,A,Nein
100027,A,Nein
100028,A,Nein
100029,A,Nein
100030,C,Ja
100031,-,Ja
100032,C,Nein
100033,-,Ja
100034,-,Ja
100035,-,Ja
100036,-,Ja
100037,C,Ja
100038,B,Nein
100039,-,Ja
100040,C,Nein
100041,-,Ja
100042,-,Ja
100043,-,Ja
100044,C,Nein
100045,C,Ja
100046,B,Nein
100047,C,Nein
100048,-,Ja
100049,C,Ja
100050,-,Ja
100051,-,Ja
100053,-,Ja
100054,C,Nein
100055,-,Ja
100056,C,Ja
100058,-,Ja
100059,C,Ja
100060,-,Ja
100061,B,Ja
100062,-,Ja
100064,A,Nein
100065,C,Ja
100066,-,Ja
100067,-,Ja
100068,-,Ja
100069,-,Ja
100070,-,Ja
100071,-,Ja
100072,-,Ja
100073,C,Ja
100074,-,Ja
100075,-,Ja
100076,A,Nein
100077,C,Ja
100078,-,Ja
100079,A,Nein
100080,C,Ja
100081,C,Nein
100082,-,Ja
100083,-,Ja
100085,C,Ja
100086,C,Ja
100087,-,Ja
100088,-,Ja
100089,C,Nein
100090,C,Ja
100091,-,Ja
100092,C,Ja
100093,-,Ja
100094,-,Ja
100095,C,Nein
100096,C,Ja
100097,C,Ja
100098,C,Ja
100099,C,Ja
100100,-,Ja
100101,-,Ja
100102,-,Ja
100103,-,Ja
100106,-,Ja
100107,C,Ja
100108,-,Ja
100109,-,Ja
100110,C,Ja
100111,C,Ja
100112,C,Ja
100113,C,Nein
100114,-,Ja
100115,A,Nein
100116,-,Ja
100117,B,Nein
100118,-,Ja
100119,C,Ja
100120,A,Nein
100121,-,Ja
100122,-,Ja
100123,-,Ja
100124,C,Nein
100125,C,Ja
100126,-,Ja
100127,B,Ja
100128,A,Nein
100129,-,Ja
100130,C,Ja
100131,A,Nein
100132,C,Nein
100133,-,Ja
100134,-,Ja
100135,-,Ja
100136,A,Nein
100137,C,Ja
100138,C,Ja
100139,-,Ja
100140,-,Ja
100141,C,Ja
100142,-,Ja
100143,-,Ja
100144,-,Ja
